,negReviews,posReview,review_date,review_rating
27,Not many HRBP roles available.,Great introduction to HRBP roles," Aug 27, 2018",4.0
28,Leadership and management - lack training and development - compensation,"Talent within teams with clear goals, but at times not attainable. Flexibility with work arrangement"," Sep 10, 2018",2.0
29,"Leadership is horrible with positions given to ""friends"" who are not qualified",Great company with a lot of potential," Sep 6, 2018",3.0
30,"as is the case with large companies, political environment",there is a decent life-balance," Sep 4, 2018",3.0
31,Limited career opportunities and development,Flexibility - Ability to work remotely ;35 hour week and summer flex days," Sep 7, 2018",3.0
32,Networking is vital and can be difficult at times. Salary flexibility can vary and stack ranking utilized.,Great flexibility since role is in a virtual environment. You can steer your development.," Aug 23, 2018",4.0
33,lots of sitting could be a downside to a more active person,Fantastic work environmentgreat benefits," Aug 23, 2018",5.0
34,It's such a large company they won't think twice about how many people they put out of jobs if they decide to offshore a department to save money.,"Good work environment, great company culture."," Aug 23, 2018",5.0
35,There is nothing to complain about it,It is an interesting place to work," Sep 5, 2018",3.0
36,"Slow moving or you can say that every decision is very thoughtfully made which leads to lags and delays. If you do not have the right sponsors in the company, you cannot move forward.","Very people centric organization, you can build a career here with the right sponsorship. It is encouraged to look internally for roles that enable professional growth"," Aug 13, 2018",4.0
37,"Call center work can be frustrating. Had many cardmembers, especially during weather issues around the country, call in angry. Also, had to meet the metics they provided.",PTO & Benefits were great. Worked with some nice people.," Aug 20, 2018",4.0
38,If you are an contractor you don’t really have mich input and your thoughts don’t matter,Flexibile and accommodating for work life," Sep 4, 2018",3.0
39,Horrible leader. Company no longer respects employees with tenure. Was amazing for 28 years. The 29th year was HORRIBLE!,Great Benefits. Work from Home.," Aug 31, 2018",2.0
40,Lack of agility can be frustrating at times,Company is serious about career development opportunities," Aug 17, 2018",5.0
41,"They have stats that make you rush the callers off of the phone while trying to give them excellent Customer Service, Too much change too often.","Great Pay, Lots of Vacation Days, Flexible Schedules, Lots of Support, Good Benefits"," Aug 17, 2018",4.0
42,None really- had an awesome experience,"Benefits, people, company is amazing"," Aug 15, 2018",5.0
43,There is not much to do so don't expect a lot of growth.,"Its got relaxed, laidback work culture."," Aug 30, 2018",2.0
44,Less growth opportunitiesNot competitive pay,Excellent team ethicsWork From Home encouragedGreat work life balance," Aug 12, 2018",5.0
45,Product teams controls most decisions. Not a lot of innovation.,Work hours are very relaxed. Pretty good benefits.," Aug 27, 2018",3.0
46,Some leaders does not follow the ethics outline,"Good renumeration, work ethics and the workflows"," Aug 13, 2018",4.0
47,You can get stuck in a job you don't want and never applied to due to constant restructuring that occurs there,"Great work life balance, people are nice"," Aug 29, 2018",3.0
48,No Cons in the company.,Great work experience.Best company in Travel industry.," Aug 14, 2018",5.0
49,"Health benefits are a joke with high deductibles that continue to increase each year. Doesn't matter if you report sexual harassment or sexual assault, as long as you don't go public with it, they don't care about your well-being. The classic over-worked and under-appreciated scenario, no matter how many times you show your hard work. Unless you're part of the good ol boys club. You'll get a raise and promotion. They definitely don't live up to their so-called ""Blue Box values.""","Very generous PTO, fitness center and wellness centers on site, on site cafeteria"," Sep 18, 2018",1.0
50,"micromanagement, lack of support, lies about shift bid, lies about bonuses, impossible metrics",None that I can mention for you," Sep 19, 2018",1.0
51,Keep recruiting ppl and laid off,Work life balance if you are not in risk," Aug 25, 2018",3.0
52,Decentralization of executive decision-making creates biased decision making,It has a good global outreach," Aug 27, 2018",2.0
53,Shift changes every 6 months,Great benefits for full and part time," Aug 12, 2018",4.0
54,"Not innovative, slow to market, highly political environment","Good brand, professional environment, good work/life balance"," Aug 25, 2018",2.0
55,"Highly political. This is a plus, if you know to navigate the company and get things done.",Great culture. Fantastic pay and benefits," Aug 4, 2018",4.0
56,Not an IT company it is a bank.,good benefitsgrate co-workers," Aug 7, 2018",5.0
57,"They will lay people off at the drop of a hat. Not just people, but entire departments. Feels like a slap in the face when the company literally says ""We would rather pay someone in India or the Philippines $8 an hour than pay you a decent wage"". Also, like other reviewers have stated, the environment can get a bit toxic. Not in a ""there's alt-right trolls up in here"", but more of a ""management makes incompetent decisions that makes everyone feel nervous/uneasy"". While I was there, one of my co-workers pointed out to management that the monthly performance goals seemed to be shifting based on employee performance. What this means is that management would look at the previous month's results and shift the monthly goals based on that. This would create scenarios where ""low performing employees"" who were trying to make an effort to improve their stats (harder than it sounds) would still be considered ""low performance"" and be fired with no severance or benefits. Overall it was not a happy experience.","While I worked for Amex (2010-2015) I had full benefits, plenty of vacation & sick time, and very good pay. The direct leaders were generally pleasant and nice to deal with. Unfortunately upper management screwed it all up."," Aug 21, 2018",2.0
58,"Palo Alto office only hiring their relatives, friends who has no knowledge in the areas of expertise of technologies. Old school thoughts. One hand the leadership says business projections on track on another had they say quality is bad. No direct correlation. Please leaders by giving fat data meaningless that no one captures in software delivery for cloud tech stacks.Lack of leadership. Any one questioning “status quo” gets into bad politics. Many smart people left or got laid off because they spoke to make improvements or challenge old school thoughts.Very bad Leaders making hostile environment where you can not say anything. You lose your brightness abilities working with dumb old school thoughts. You work long hours literally 7 days a week for releases that is meaninglessness.Bringing contractors without interviews, knowledge. Looks some personal scam going on where management are making money, keeping in their pockets.Some ethnically issues going on. Talk to any doers they all feel this. Fix gaps with modern work culture.","Like people who are doers at working class level, and engineers."," Sep 13, 2018",1.0
59,"Long hours, thankless responsibilities, endless problems to address","Good benefits, some scope to work remotely"," Sep 12, 2018",1.0
60,A bit of a commute.,"Technology organization is on the right track, changing to meet the demands of both the hiring market and the customer."," Aug 7, 2018",4.0
61,Alot of bureaucracy when it comes to promotions,People are very friendly and out going. Great environment to meet people and build strong working relationship," Aug 21, 2018",3.0
62,"Parking , work space very tight","Name on resume, job titles"," Aug 21, 2018",3.0
63,Overload of work. Expected to work at a robotic pace.,"Many. Benefits were great, pay too!"," Aug 6, 2018",5.0
64,Not a transparent place to work,Pay scale above average best thing about the company," Aug 20, 2018",2.0
65,"Too focussed on fluff like marketing, powerpoint presentations, politics, groupthink, where you went to school, etc. Inefficient structure, thinks it's a marketing company when it's really tech. Compensation is lagging.","It's a great place to get experience or try something new, very flexible structure, you're encouraged move around."," Aug 17, 2018",3.0
66,okay lunchbye to the managerthe world knowsits okay to be okaysheshe is amazing,good servicegood peoplegood paygood hoursbetrue," Aug 3, 2018",5.0
67,"Politics at all level ,no rotation policy people not moving from one position for many years causing issues","Best compensation , policies"," Aug 1, 2018",4.0
68,"Need networking to move around, not a fair policy",Good work life balance in company," Aug 15, 2018",3.0
69,Salary for Small Business Consultant very low.,Excellent Company to grow your career.," Jul 30, 2018",5.0
70,"politics , management issues, changes, communications issues, slow pace","benefits, health, medical, dental, 401k"," Aug 14, 2018",3.0
71,"Position wears too many hats for too little payIs not the fun role they made it out to beTraining essentially made it seem like you would simply be recommending travel plans by using extensive destination knowledge, however in this role you are primarily an order taker; someone calls in and you will only be ""taking their order"" for hotel, flight, and car arrangementsIf I knew it was going to be so boring AND difficult (no room for mistakes), I would have never applied",Potential to grow in the company401k company matchGREAT employees! Got along really well with everyone," Aug 7, 2018",2.0
72,"Lots of stress, unrealistic metric criteria",Great benefits and bonus clean environment," Aug 5, 2018",3.0
73,Senior leadership is really bad,Good company with good benefits," Aug 7, 2018",3.0
74,No major cons that I can think now,Great work environmentFlexible work hoursExcellent learning and growth opportunities," Jul 23, 2018",5.0
75,too much office politics leads to too many incompetent employees that bypass company policies.,"great work life balance, great location"," Aug 7, 2018",3.0
76,it became extremely political/ assembly line/none caring about the client/ its all about share holders,work from home helps avoid the political games in the office," Aug 27, 2018",1.0
77,Not enough time off and required too much,There was great team work and communication," Jul 22, 2018",4.0
78,"Low payVery political-you will not get promoted if you don't network and set up coffee chats with the right peopleVery slow decision-makingI had a terrible boss who should not have been a people manager, but the rest of the team was great.",Work-life balanceGreat people/teamFlexibility/Great work from home policyBenefits (401k match)," Aug 1, 2018",3.0
79,None that I can think of,Great pay great job," Jul 22, 2018",5.0
80,None that can be highlighted,Good Working Environment and Personal Life and Professional Life Balance," Jul 20, 2018",5.0
81,Amex has an agility problem and is often times more process than result oriented. Career advancement is very dependent on the direct leadership which can be problematic when there are organizational changes. Displacements are a frequent measure to right size.,Amex offers great parental benefits snd a great work-life balance overall. The office location is fantastic with access to a lot of amenities inside Brookfield Place. The culture is very much focused on relationship building and the workforce professional and smart.," Jul 17, 2018",4.0
82,"It's all sales driven. There is no customer service anymore. Reps are required to sell or upsell clients on products they don't need. You are also graded on surveys you get, but you can get a bad survey even if you did not speak to the customer, such as if a different department asks you for help you can get a survey and the company just says oh well as a way to not pay you bonus",Make a lot of money," Aug 23, 2018",1.0
83,"Software Development process is a mix of waterfall and scrum. No real product development, more project oriented.","Good benefits, flexible working hours."," Jul 31, 2018",3.0
84,Certain managers are a little clueless,"Friendly colleagues, good benefits, (401k, etc)"," Jul 16, 2018",4.0
85,"Promotions are difficult unless you're someone's ""golden child"". It's more about Neopotism than merit. Salaries are on the low end in FinTech.","Lots of structure, learning and ability to network. It's a place where work/life balance is very important and one can move (laterally usually) every 18 months."," Jul 9, 2018",4.0
86,because we are a small company healthcare benefits are not that great.,fare wages and reasonable demands," Jul 28, 2018",3.0
87,Work load varies depending on the season. You will need to manage office politics if you want to grow your career here. It’s about who you know. Relationships matter!,Work life balance depending on which team you join. You can change roles and jobs every 18 months to 2 years," Jul 13, 2018",4.0
88,Medical insurance is not good,"Benefit is good,401 company contribution rate is good."," Jul 12, 2018",4.0
89,provides big company politics and challanges,provides big company benefits and opportunities," Jul 27, 2018",3.0
90,pay is not the best but you also work on average 40 hours. no more.,"life balance, good pay and benefits, people are great"," Jul 11, 2018",5.0
91,Middle management too concerned with their own jobs to have time to develop teams.,Great benefitsOnsite restaurant + StarbucksInitial training," Jul 23, 2018",3.0
92,Everything else. But at least it pays the bills,It’s a paycheck and you have something to do with your day," Aug 15, 2018",1.0
93,"Culture is very corporate, small fish in a big pond",A lot of exposure to new technology and innovative processes," Jul 25, 2018",3.0
94,"* Internal Politics* Overloaded with work* Promotion is luck, and after pretending brilliant employee with fake applauds* More leaders, less deployers (overburdened with updates, and weekend deployments)* Leadership doesn't feel that people have personal life too* They don't hire people, until delivery affected, while existing employees are depressed* If starting career here, wait for 10-15 years to be promoted as manager only.* No remote option* Don't use get off chair, clearly you have super availability",* Environment is challenging* Adopt new technologies* Leadership approachable* Insights to all employees with Town halls* Emerging as a in-house IT company* 401K plan is good* Share profits* Help in education," Jul 18, 2018",3.0
95,"Basic salary and insurance benefits are lower than the market; promotion heavily dependent on senior leaders' sponsorship, constant reorgs, candid feedback on employee pulse survey can badly backfire on employees sometimes",Brand name; move jobs internally; work-life balance; generous parental leave; 401K match; Dr. on site; matches donations," Jul 3, 2018",4.0
96,Always laying off employees to give all jobs to India. Closing building and moving to a smaller building.,"Benefits, retirement, competitive pay, PTO all good"," Jul 22, 2018",3.0
97,Nothing to say about this,Helping people stay alive well," Jul 7, 2018",5.0
98,"Mid-level managers are hit or miss. Way too bleeding edge - contractors or consultans ultimately defining VPs roadmaps for ""WOW"" factor, but seriously lack the in-house knowledge/skills to deliver.",Work life balance depending on who you work for and easy to get on the good projects if you know the right people," Jul 20, 2018",3.0
99,limited opportunities for promotions VP or higher level,"Great place to work,excellent work life balance, solid compensation and benefit plan"," Jul 3, 2018",5.0
