,negReviews,posReview,review_date,review_rating
25,A little to focused on molding the perfect HR ratios of an idealized demographics vs. just having the best people for the any team.,Great pivot from Balmer to Nadella with huge upside in the Cloud business.," Aug 24, 2018",5.0
26,field leadership and culture can be very political.,satya is a great leader with strong values. he truly is trying to make the company a fantastic place to work and is investing in the right areas to continue leadership in cloud computing," Sep 3, 2018",5.0
27,"Most jobs will be in Redmond, Washington.",Great company culture. Truly encourages you to learn.," Sep 4, 2018",5.0
28,"Hard to leave, easy to get comfortable","Enriching, diverse set of people, growth opportunities"," Sep 4, 2018",5.0
29,Old thinking still lingers in some teams and is hard to change. The company is still not nimble enough to take advantage of new trends and is missing on some big opportunities.,"The company is revitalized and reinventing itself. Open to new ideas, looking for customers where they are, moving away from ""everything Windows"" mentality."," Sep 17, 2018",4.0
30,"Slow moving, , suffers from not-invented-here syndrome","Smart engineers, many interesting work options"," Sep 18, 2018",4.0
31,Not a great place to work if you are a non-minority male (including Asians as they are not considered minority). Managers are hinted to hire diversity candidates over talented non-diversity candidates.,"Good company, lots of opportunity to work on various things."," Sep 18, 2018",2.0
32,Youth movement in ManagementFocus on diversity and not on capability,Smart peopleCompany has new motivation," Sep 18, 2018",2.0
33,Bereaucracy.Org (which you may have no control over) can determine your career progression.Managers can prevent you from switching in non-transparent waysSenior employee astroturfing.,BenefitsHighly experienced employees to learn from," Sep 19, 2018",2.0
34,"processes are complex, things take time",Great benefits and perksGood SalaryGreat WLB," Sep 15, 2018",4.0
35,"Slow to innovate. Culture of producing software with bugs, or not implement features so that major launch deadlines will be hit.",Flexible with work hours and working from home.Treat staff really well. Lots of great perks.," Sep 16, 2018",4.0
36,A lot of old timers who've just forgotten that they've got to do something in the day. Slackers. Politics and brown-nosing preempt work and delivering.The management team is mostly made of the former Windows Vista managers who're still around. They're so hands-off that the teams are left by themselves. No coherence or control of the little work being done. No opportunity to learn or grow.,"Great work-life balance. The management team doesn't request much to deliver, but expect employees to be reverent to them."," Sep 17, 2018",2.0
37,"legacy app pain, uncertain about future of product, some team members were miserable to work with","great benefits, decent culture, learning opportunities"," Sep 14, 2018",4.0
38,Very political environment and work / life balance is horrible.,The benefits are overall good.," Sep 15, 2018",2.0
39,I think the salary is less competitive than other companies.,Surrounded by smart people to work with.," Sep 15, 2018",3.0
40,Exposure to limited technologies and frameworks,Best work life balance and gender equality," Sep 14, 2018",4.0
41,"I’m still pretty shocked at my experience since day 1. I’ll try to leave emotion out of it and share the historical events that occurred to remain truthful and not exaggerate. When I first came in as an MBA here, I was brought into my dream finance role. 24 hours after joining, my manager went on paternity leave for about 8 weeks. I heard from him a couple of times in that timeframe and that was about it. I got started working on some onboarding projects and everything was more or less fine. My office was on the other side of the building so I didn’t get to sit next to my team for the first 7 months. My teammates never really came by to say hi so it was tough to build new relationships with them, having to walk over constantly to try to connect. After my manager returned, he only talked to me a handful of times. I’d say I sat in about 8 hours worth of 1-1’s over my whole year there. I never received a performance review or feedback on a single project. I never received a quarterly or year end performance review. I never heard that I did well, but was reassured that that wasn’t my manager’s style. He’s never really one to say “good job”. Not great management. I never felt like I was wanted in that role, and I heard from numerous people that I was placed in that role by a recruiter and was never actually placed in an open role and thus I wasn’t really wanted from day 1.Now for the part that I still am just in shock around. In my organization, I was the only white person. About 3 different times, in team meetings, jokes were made about how I wouldn’t understand something or couldn’t relate because I was white and not Asian/middle eastern. I just brushed it off and laughed, but felt like I experienced a form of racism that I had never felt before. Having not felt like part of the team ever and then had them make jokes about my race at my expense... it really didn’t feel good. But, because I’m Caucasian and not something else, if never felt like I could say anything about it because it’s Seattle and many people believe racism against Caucasian people isn’t possible. I would disagree based on my experience.At the end of my time, after declaring I was leaving, I never heard from a single HR rep. I had so much I needed to share and I didn’t even get an email about my departure. Nothing. Zero. No form of exit interview. No goodbye. Nothing. So now I’m sharing this all here because I didn’t get to share it internally. It was the strangest exit I’ve ever had.The moral is: people leave managers, not companies. Microsoft is a spectacular company, but my management experience was really, really poor and HR really dropped the ball here. I was so sad too having come into my dream job and feeling unwanted completely from day 1. I would’ve stayed if even one person showed that they cared in the least. I had shared this with multiple friends there on my last day who had been there for years and they were in utter disgust and shocked that HR had never reached out. They reached out on my behalf and even that didn’t trigger a response.I’m just really shocked and sad. I was really excited to build a career at Microsoft and chose to leave due to this experience.","Satya Nadella is a truly spectacular leader, as well as Phil Spencer. I honestly loved working for both of them and knew that what I was contributing to was an inspiring vision and mission! The benefits at Microsoft are outstanding, the events are a blast and are a fantastic motivator throughout the year , the opportunities for growth and diversity in your job... some of the best I’ve ever seen. Microsoft also is in a serious growth phase so it’s an exciting time to be a part of the organization!"," Sep 15, 2018",2.0
42,"Politics , re-org, no direction","Stable, work life, paid ok."," Sep 14, 2018",3.0
43,Underpaid when compared to other large tech companies.,"Great technology, good work life balance, fun teams."," Aug 29, 2018",5.0
44,Large company can make transitioning hard.,Great community. Good pay. Good location," Aug 29, 2018",5.0
45,Management can be a bit of a coin toss and bureaucracy reigns supreme across all groups,"Great benefits (401K match, health insurance coverage, transportation to work, etc.)Solid pay and work experience to build and develop your career."," Aug 30, 2018",5.0
46,Large companies have their downfalls - endless loops to get things done.,Growth mindset and tackling great problems.," Aug 30, 2018",5.0
47,the pay is not that competitive compared with Facebook/Amazon/Google,"Cutting edge technologies, visionary senior leaderships, great people to work with, work life balance"," Aug 30, 2018",5.0
48,low salary compare to other similar companies,good work life balance compared to other similar companies," Sep 12, 2018",3.0
49,"-Low stock refreshers compared to the industry-Slower career progression-Great work life balance is exploited by some ""slackers"" which demotivates teams sometimes",-Great work life balance-Great benefits-Great CEO-Great stock to receive bonus on," Aug 28, 2018",5.0
50,I really like my job,This is a very good job," Aug 28, 2018",5.0
51,can't think of any as of the moment,I'm born in the generation that looks up to my current employer," Sep 11, 2018",4.0
52,"-It's a giant corporation that suffers from the expected problems that come with being a giant corporation-Some departments don't follow the ""One Microsoft"" mantra (old school)",-Lots of room for growth-Autonomy," Sep 12, 2018",4.0
53,Not much open source contributionNot much exposure to new projects,"Good benefits, easy parking, good amenities.Project mostly on single technology"," Sep 12, 2018",3.0
54,Not the most exciting products except for a few ones,Lots of senior people to help onboard and mature," Sep 11, 2018",4.0
55,"Always swamped at work, office politics is rampant.","Great healthcare benefits, ok base pay."," Sep 11, 2018",3.0
56,A lot of the side work expected can take away from work-life balance,"Teamwork, comradery, benefits, no micromanagement"," Aug 27, 2018",5.0
57,"long hours, hard job, too much work","share,price pension plan, friedly environment"," Aug 27, 2018",5.0
58,"management and leadership should be ashamed. they bully their employees and play major favorites. they talk about cleaning house so they have employees that will follow everything they say (even when they are completely in the wrong) when it should be the managements team to be ""cleaned"".",snacks an drinks provided for employees," Sep 9, 2018",3.0
59,An engineering company trying to be a sales organization with solutions but living in a silod compensation plan which makes it hard,Great technologies and solutions that are highly scalable and integrated," Sep 9, 2018",4.0
60,"I was an ICE agent. I was so grateful to have worked there but I soon found due to a personal issue with co workers, I was not trained as well as I should. I am lucky I knew Inventory. I had several workers take others badges and when I spoke upon it, It was shoved under the rug. Security is so important in this position and I had a lot of issues with unauthorized access, manager badge sharing and policies being ignored. I know I ruined any chance to work there but the honest truth is, I left because I was afraid it would be my head when senior co workers were the ones breaking the policies. I worked in government so these are very important to follow.",I loved the tech and wished I could have worked in it more.," Sep 8, 2018",3.0
61,Slightly lower pay than other companies in the area.,Expectations and work life balance are reasonable.," Aug 24, 2018",5.0
62,the salary is mush lowball,the work and life balance," Sep 7, 2018",4.0
63,"Race to not be the one with the target on your back. The company has a policy to eliminate a certain percentage of employees every year. Even if you're doing well, if someone doesn't care for you in any way you're out. It's a very stressful way to live. They say they hire from within but they let you know ""new blood"" is better.",Feeling of something good. Working for an enterprise size corporation is great. Discounted software," Sep 6, 2018",3.0
64,A little less salary compare to competitive companies.,Good work life balance and have good work.," Aug 23, 2018",5.0
65,More bleach needed at times.,CleanEasyStaff doesn't talk down to help," Aug 24, 2018",5.0
66,"It has gotten way too big and even Satya took over, political play all over the place",It was a great ride," Sep 6, 2018",4.0
67,"Lean has become the key attribute of success at many of today’s leading companies. At Microsoft however, it’s noticeably absent. Most of the Product managers I’ve worked with don’t even understand SCRUM, a methodology derived from TPS \ Lean. MS would be wise to look at how companies like Amazon and Nordstrom have implemented Lean in every area of the company.","Microsoft is a great company and a great company to work for. As a person who appreciates diversity and ethics, it would be hard to find a better company than Microsoft."," Sep 6, 2018",4.0
68,There agent any cons at this time,Working for Microsoft is the best," Aug 22, 2018",5.0
69,Can't really think of any yet,"Great benefits, great pay, and good place to network and grow your career"," Aug 23, 2018",5.0
70,Stack ranking system and tactical thinking within sales organization.,"Work life balance, technology, opportunity for growth, and people."," Aug 23, 2018",5.0
71,"- performance model still feels too forced; just do away with forced curves and hold managers more accountable. if they allow low performers to stick around m, remove the manager instead of forcing a curve where it doesn’t apply- pay could be a bit higher, especially given company performance over the past several years",+ lots of smart people+ customer sentiment is now strong+ CEO is brilliant and builds strong culture+ very good benefits+ GREAT technology to sell+ company is an awesome world citizen; gives billions to the needy which feels really good," Aug 23, 2018",5.0
72,"things can be weirdly political as far as org roles and responsibilities, funding, etc.","Lots of resources, internal mobility, etc."," Aug 23, 2018",5.0
73,"Very strict late policy, kinda forced to do volunteer outings","Great pay for full time, Microsoft Corp level benefits, ability to do what needs to be done to find right solution for customer, great culture"," Aug 17, 2018",5.0
74,"There are some corporate politics that happens, but its part of a company of this size.","There are a lot of really smart people working there, and the benefits are great."," Aug 20, 2018",5.0
75,"Not at main campus, support is still support at the end of the day and comes with a mitigated version of the norm.","Work life balance, drinks, good benefits, flexible remoting"," Aug 20, 2018",5.0
76,Things run on excel worksheets,Freedom to experimentFast Paced life," Sep 4, 2018",4.0
77,NY Metro is worst place to work. Its RACIST white man club .. if you are anything else treated like POS.,over all culture and company is good," Sep 3, 2018",3.0
78,"Talent retention, strategy aligment","Great Benefits, competitive salaries"," Aug 18, 2018",5.0
79,Finding a role that excites you is complicated.,You are building something magnificent that affects millions of people’s lives. Enjoy that.," Aug 19, 2018",5.0
80,Too much politics and power play,Technical work which is the best," Sep 2, 2018",4.0
81,pay not the best for job,hours are greater what it is," Aug 17, 2018",5.0
82,Still many old habits of long timers,A lot of opportunities," Aug 18, 2018",5.0
83,Less promotion. Less growth directions,More work life balance. More determanated work scope," Sep 1, 2018",3.0
84,"It's a big company so sometimes bureaucracy can get in the wayMiddle management is still the fastest way to career advancement, so that basically encourages mediocrity in 1st level managers",Good senior leadershipGood strategic directionGood focus on diversity and culture," Aug 17, 2018",5.0
85,"Traffic in Seattle area is awful, making commute difficult. Cost of living (mainly housing) is approaching California-like levels of absurdity","Great benefits, work/life balance was good, lots of smart folks"," Aug 31, 2018",4.0
86,"At Microsoft you don't get a lot of the flashy things that other companies get, like free lunch or a gym on campus. Also management has gotten more stingy in the last few years and now our morale events are very lack luster and boring.","Microsoft has a great work life balance, Interesting challenging work, and good policies and team interaction. I like my teammates, management, and compensation. I'm pretty happy working here. The benefits are also very good."," Aug 9, 2018",5.0
87,"Typical of big companies, not many opportunities to make an impact at junior levels.","Great company with work going on in a lot of difference areas, so an employee can switch internally and work on difference technologies"," Aug 15, 2018",5.0
88,As with any large company there is still a bit of politics to deal with.,Great company to work for. Microsoft really cares about its employees. They have great benefits and work-life balance is great. The atmosphere has really changed for the better the past few years.," Aug 15, 2018",5.0
89,None that I can say of,Excellent Company to work for," Aug 16, 2018",5.0
90,"-Management can be hit or miss, some managers are awesome while others are useless-You have to wear multiple hats in the company, despite your job title and description-Be ready to work hours than usual-Cut throat environment, be careful of who you trust within the organization",-Free food-Friendly co-workers-Lots of room for growth within the company," Aug 29, 2018",4.0
91,"changing jobs, pay is highly variant","Great benefits, decent package and work life balance"," Aug 29, 2018",4.0
92,"Although they try to allow for work-life balance, this industry and company by nature is 24x7 and achieving a happy medium between work and life a difficult.",Endless opportunities for advancing technical training and knowledge. Work with some of the most intelligent minds in the industry and with the newest technologies. Self development and growth is part of the culture.," Aug 30, 2018",4.0
93,Slow moving at times. Always at the risk of reorg,"Flexible, decent pay and benefits"," Aug 30, 2018",4.0
94,Hierarchically not lean. Red tapes to innovate.,dynamic positive customer obsess innovative compassionate," Aug 11, 2018",5.0
95,"White Male in 40's, top of level being pushed out to bring in young hires - so that's good for the young and building a diverse workforce.",Great benefits and great people to work with," Aug 29, 2018",3.0
96,Career growth and opportunities are limited,You get to say you work at Microsoft," Aug 30, 2018",3.0
97,Performance review is an awfully time-consuming process.,Challenging work. Great respect & flexibility.," Aug 15, 2018",5.0
98,PoliticsTerrible review systemPolitics who you know is more important than what.,Wfh culture. Benefits and health insurance," Aug 28, 2018",2.0
99,teams do not share information internally with contractors,"Lot of learning, new technologies"," Aug 30, 2018",2.0
