,negReviews,posReview,review_date,review_rating
54,"turn over of said great people, high stress, must put up with rude call ins and put up with many cooperate changes create unnecessary confusion and stress sometimes switching lines from dedicated to non and or entire departments you aren't even trained on. If you have a food allergy better pack, no time to enjoy the facilities during work only after work, told not to speak on anything because any wrong word or statement can get you fired if the wrong person overhears you.","Have a doctors office, 2 cafe's , has work out room, and a gift store,a lot of people with great personalities"," Aug 11, 2017",2.0
55,Upper management is clueless. Expectations is for everyone to work 45+ hrs a week. They don't care if you have a family. Took away work from home.,"Good benefits, great coworkers, fitness center"," Aug 21, 2017",1.0
56,"Consulting organization is very young and inexperienced, not getting support from upper management on ridiculous rules and metrics that contradict each other so you end up spending a lot of time on administrating the budget and resources instead of managing the issues and work","Decent pay, good benefits, fairly stable work environment."," Jul 5, 2017",3.0
57,Company is currently downsizing. Constantly adjusting to health care industry changes. Regional health care climate is also having an impact.,I am a long time employee. The company has historically been good to me. Has provided opportunities for advancement.," Jul 14, 2017",3.0
58,"poor management, close proximity to downtown","some fun people, close proximity to downtown"," Jul 24, 2017",2.0
59,Management is a little unorganized,It was a good place to work ... culture is changing for the better and much more focused.," Jul 10, 2017",3.0
60,"Highmark has taken aggressive steps to eliminate older, tenured and knowledgeable employees. They have diminished their value and treat seasoned employees with disdain. They have slowly, but steadily been eliminating them from their workforce. They are being replaced with off shore staff and inexperienced employees. The top tier management talks a good talk, but the bottom line is their incentive check and their perceived power in the community and the overall insurance industry. The focus is on strategy, while implementing that strategy falls to the hands of those who know nothing about health insurance or the complex systems enabling it.","Highmark has a good reputation with other insurers. They pay close attention to regulations and maintain a high level of compliance. It's a tough place to work, so when you move on, you'll be a star!"," Jul 5, 2017",2.0
61,"Promotions are difficult to achieve when management continually hires from outside of the department. Many internal candidates available, but were overlooked.",Learning possibilities are endless," Jun 24, 2017",3.0
62,No balance between work and life,"Automation, paid on time, training"," Jul 9, 2017",2.0
63,"Work From Home taken away, upper management isn't as ""transparent"" as they claim. I used to love going to work. I couldn't wait to give my 2 weeks notice. After 18 years of working here, I wasn't even sad to say goodbye.","Decent pay, decent health care coverage."," Jun 14, 2017",3.0
64,Volatility of the insurance industry,Stable and growing company with lots of employees," Jun 19, 2017",4.0
65,Almost everything is a lie and they try to spin every change as something positive when it is really a negative.,Not many good things to say unless your under the age of 30 right out of college because that is all they want.," Jul 18, 2017",1.0
66,Talented professionals are leaving because lower level management is not able to foster a trusting environment to accomplish strategic objectives.,Great vision as a company to place the customer at the center of healthcare.," Jun 14, 2017",3.0
67,Not everyone should be a Supervisor as some do not understand what it takes to be one. Things change very rapidly and not always for the better.,The recognize individuals strength and will help you build upon those strength. They have great mentor opportunities. The Director really cares about her staff.," Jun 12, 2017",4.0
68,"Terrible management, morale is low, no consideration for its employees, training was bad,","None, you meet good friends"," Jul 4, 2017",1.0
69,Do not adequately train you.,"Excellent benefits, very clean working environment"," Jun 8, 2017",2.0
70,Management and rules are changing frequently. Hope this will settle down and come back to normal.,Flexibility and recognition. Good learning experience.," May 24, 2017",4.0
71,The company leadership is off track and doesn't care about its people. The company needs to be lead by people who are authentic and not self serving.,This used to be a great company. There are still some areas to work in that are an oasis.," Jun 17, 2017",1.0
72,"Management hardly knows you exist unless it's for negative feed back, very clickish, only promotes the same few people over and over , never know when there gonna send you packing","salaried employment, pays well ,talent"," Jun 18, 2017",1.0
73,"Terrible place to work, they are all bottom line, they care nothing about the IT people",Health benefits were really good," Jun 20, 2017",1.0
74,"Disengagement of management with employees, the responsibilities of their positon and/or skills. Constant changes to protocol policies across the board. Growth opportunities are few causing high turnover. Employees experience consistent anxiety wondering who or what is going to be cut next.","Employees have access to the Wellness Center (gym), work load permitting. There is a doctors office and pharmacy on site."," Apr 18, 2017",3.0
75,"Horrible work environment. No training or growth in the company. No business process in the company. Management is incapable. People working here have been with the company for years with no cutting edge skills or experience. They still use the oldest of technology, methodology and resource. Very toxic environment and you will not learn anything. Worst company I worked for.",No Pros. Good for Lazy people with no cutting edge skills.," Jun 10, 2017",1.0
76,Need better communication to the contractors regarding their job/assignment,Great place to work.Great company," May 5, 2017",4.0
77,- Work culture needs to be improved to focus on quality and growth- Some outdated technologies being used,"- Good salary, great benefits- Training opportunities"," Apr 29, 2017",3.0
78,"Fast paced, constant calls, need ability to teach yourself ways to solve problems and find answers, angry customers","Private work station, independent work, help line assistance as needed, great pay"," Apr 28, 2017",4.0
79,"Salaries are horrible. I have been with the company for 25+ years. I started with BCBSDE then we were consumed by HM. It's been down hill. Sr. Leadership in Pittsburgh is in effective. The go from one major initiative to another without working out any kinks. They also promote a global and national workforce yet there are no promotional opportunities outside of Pittsburgh.Unfortunately they believe they are offering the best. You know, the monkey house only smells bad when you first enter. The stench is still bad for me.",Good People. I have a great director and a great team outside of Pittsburgh!," Apr 27, 2017",2.0
80,"The status of healthcare is up in the air, and so are all the internal processes and procedures. There aren't any rule books for anyone.",99.9% of your coworkers are genuinely nice people that really care about the customers and providers. Highmark employees tend to be very loyal.," May 26, 2017",1.0
81,"Highly political environment, lack of transparency related to motives of Sr. Management, poor advancement for women",Large Blues Payer with potential to grow," May 23, 2017",1.0
82,no that I can think of,relaxed work environmenta lot of internal transfer," Apr 15, 2017",4.0
83,"At Highmark Solutions, I started this job working 37.5 hours per week, working from home 2 days per week. Now all of Solutions is required to be in office 5 days a week, and to log 44 hours per week, unless we want to get dinged on our review. These two requirements, as well as continual tracking of every movement of every iota of production is exhausting and makes me feel distrusted. Management tracks and reports on ""productivity"" without understanding my team's work.","Teammates and manager are smart, dedicated, helpful, and encouraging. The work itself is interesting, and customers are grateful and decent."," Apr 4, 2017",2.0
84,Many jobs are being moved overseas. Management is non-existent. There are way to many chiefs not doing their jobs as managers and not enough employees to pick up the slack for them. The new management style seems to be letting the employees take the ball and run with it even though they have no clue what to do with the ball. If you are a new employee do not expect any help or guidance. If you are considering applying to Highmark run the other way!,"None, None, None, None, and None"," Apr 16, 2017",2.0
85,Employees treated as interchangeable parts. Minimal to no raise opportunities.,Large company perks like salary," Apr 19, 2017",2.0
86,If you take calls you can't get updates from your desk with out getting a nastygram from the boss.,"Lots of side perks like discounts, fundraisers, and charity events ."," May 9, 2017",1.0
87,"Constant change in all levels of management, no one is on the same page, and promotions are based on more who you know then experience. High turnover rate",Onsite employee gym that offers all kinds of classes," Apr 4, 2017",2.0
88,lacked strong leadership and structure,it provided a good balance of challenges and a wide scope of work.," Mar 16, 2017",3.0
89,"Work life balance does not exist. I personally was asked to suspend my education in order to work additional hours (unpaid, as I was salaried.) Staff is not respected. When I told my co-workers of my upcoming departure, absolutely every one of them said that they wished they could do the same thing.","Decent on site cafeteria. On site pharmacy, health center and no cost gym are the only plusses I can think of."," Apr 15, 2017",1.0
90,"Disorganized management, irate callers, etc etc etc","Telecommute, benefits, 21 days off"," Mar 16, 2017",4.0
91,Horrible so called lay offs,Work from home was good," Apr 19, 2017",1.0
92,"Pay is low for responsibilities, production is weighed more heavily than actual job knowledge.",On-site gym and health center/pharmacy. Building is a nice work environment.," Apr 20, 2017",1.0
93,Constant misinformationNo respect given to advocatesNo chance for advancement unless you're the favorite of the favorite management. Or male.,Decent payKind supervisors40 hours guaranteed," Feb 21, 2017",3.0
94,I can not think of any I Love my job,"Work life balance, advancement opportunities from within"," Mar 9, 2017",5.0
95,"The rumor mill can get annoying, paranoia can get out of hand. Many long-time employees have complained about things going downhill with the company compared to when they started 15-30 years ago. This is understandable, as due to the economy, there have been cutbacks. However, I feel this is more to deal with the changing nature of healthcare and health insurance than to the company being greedy.","In my time at Highmark, I personally have had mostly good experiences. I started as a Customer Service Rep and became a Supervisor within 3 years. I have always felt that there were plenty of opportunities to advance if someone is motivated to do so. In addition, I was able to take advantage of their Tuition Reimbursement policy immediately (annual amount was recently lowered, but no lifetime maximum). Management has been supportive of my personal and professional goals."," Feb 28, 2017",5.0
96,"There are 10 cons to every pro. The management - from senior leadership through middle management - was all fear-based. No one was empowered to do their actual jobs, not to mention all of the wasted time and hours spent trying to get even the smallest tasks done. There are NO processes, NO accountability, and NO time for outside-the-box thinking. I was afraid to answer my phone because I was screamed at by clients and brokers daily, due to things outside of my control. I didn't know a single other employee who was happy. Company is too big and too greedy to see past itself.",Hands down THE best co-workers I've ever had in my life. Great Philanthropy with The Caring Foundation.," Mar 27, 2017",1.0
97,As the years went on and they started to out source jobs they got to where they didn't want to do anything for their employees,At first they were a great company to work for.," Feb 26, 2017",2.0
98,Every one is getting overworked,Employees are good to work with," Feb 10, 2017",3.0
99,"Horrible management, poor job security, no respect from management, pay not great, no holidays from Nov - April and weekends were also mandatory work.",Benefits were ok when I was laid off but declining quickly. Liked most of my coworkers," Feb 3, 2017",2.0
