,negReviews,posReview,review_date,review_rating
13,"crazy hours, dull work","The pay is decent, but not worth the hours you put in"," Sep 14, 2018",4.0
14,"misguidance by leadership, lack of direction, favoritism","telework, benefits, recognition, training, global"," Sep 14, 2018",4.0
15,Turnover impact on remaining employees,"Flexibility, experiences, growth opportunities"," Sep 12, 2018",5.0
16,Long hours. Hard to take vacation. Expectation of always being available to work.,Great experience. Potential for growth outside the company. Great people that you work with.," Sep 12, 2018",4.0
17,Long hours. Always need to be available to work.,Great for career. Great people. Great experience," Sep 12, 2018",4.0
18,Overtime and lots of travel,"Exposed to many new industries and projects. Demanding, but an excellent place to work"," Sep 12, 2018",4.0
19,None. I love working here,"Great benefits, value family, flexible"," Sep 11, 2018",5.0
20,-Long work days-rigid system for climbing up the ladder,-Gain experience-Flexible on what you want to work on-Intern events/swag-telecommute," Sep 11, 2018",5.0
21,Hours work late nights travel,Growth Potential and pay learning," Sep 11, 2018",5.0
22,"Over utilization of employees, especially if doing well.Given that its a large corporation, hard to get to know people, unless you work with them.",Great company overall with a good exposure to clientsVery quality orientedVery good culture and inclusivness," Sep 10, 2018",4.0
23,no work life balance. need to work over time frequently,great experience for young people," Sep 10, 2018",4.0
24,Heavy workload during busy season.,Good place to gain experience. friendly colleagues.," Sep 11, 2018",4.0
25,long hours lack of investment,Good place to work mostly.," Sep 7, 2018",4.0
26,Work life balanceQuality of work,Good exposureGood diverse clientsGrowing firm," Sep 8, 2018",4.0
27,"The hours in certain offices (NYC and around) are horrendous but not due to client demands but rather due to high staff turnover, poor automation and ineffective offshoring.","Truly a good start to a career (however, see Cons)"," Sep 6, 2018",4.0
28,"Long hours, low mobility within the firm, reviews and ratings do not always follow the written policies.","Learning curve is steep, people are nice"," Sep 7, 2018",4.0
29,Hours and travel expectations and lay-offs across the practice. I would not recommend to join laterally from another firm/company if you are Manager level or above.,Great work and supportive firm.," Sep 4, 2018",4.0
30,Audit does not allow work life balance,People you work with make it a good experience.," Sep 5, 2018",4.0
31,A lot fluff thrown around without actual expertise in subject matterAlways tends to loose RFP and proposals to other forms who are either better in the subject matter or have better outreach in the C-suite of the client,Great for people who believe in just doing w/o challenging the ideas from leadershipGreat for people who work to please their leaders even when they dont believe in their strategy," Sep 19, 2018",3.0
32,Hours are similar to bankers but less pay,Paternity/maternity benefits for new families," Sep 3, 2018",4.0
33,Initial time requirements can be excessive and overwhelming in the start of your career.,Provides unique opportunities and experience to jump start your career on the fast track or to stay with EY for the long term and become one of the highest paid members in your field.," Sep 4, 2018",4.0
34,"base salary, red tape, structure","Benefits, opportunities to learn, growth"," Sep 18, 2018",3.0
35,"Low flexibility, scheduling can be tough if you don't speak up","Learn a lot, Mobility/salary increase every year"," Sep 18, 2018",3.0
36,Pay is on the lower side of the spectrum compared to other companies with similar work hours etc. Extreme level of attrition at all levels below manager which is demoralizing for others at those levels.,"Stable and respectable company. Depending on the service line and the group/team you are in you can have great or terrible work life balance and experiences (i.e.: working remotely, expected long hours etc). Starting this year EY will give a few more paid vacation days."," Sep 18, 2018",3.0
37,Work Life Balance is nonexistent during spring,The exit opportunities are fantastic," Sep 2, 2018",5.0
38,Depending on your department maybe difficult to move up so work can/could become frustrating.,Wonderful team and always many opportunities to grow! Even offers unlimited learning in various sites to always push you to be your best.," Sep 2, 2018",5.0
39,- Does not provide community and a very professional atmosphere-,"- Lots of perks from store discounts to park discounts, etc."," Sep 2, 2018",4.0
40,There is not much guidance.,You get to learn a lot.," Sep 16, 2018",3.0
41,You have to really work hard to stand out,Great place to work and meet people.," Sep 17, 2018",3.0
42,"- No R&D- lagging behind in adopting new Technology- Way behind in Big Data , Python , A.I , Machine Learning",- Great stability- Pension- Decent 401k- Great vacation package ( 5 weeks for Managers and above)," Sep 17, 2018",3.0
43,* Too many internal work apart from your client work.,"* Amazing place for personal learning, vast opportunities and growth* Great People & teams* The best benefits!* Love the counselor and counselee concept"," Sep 1, 2018",4.0
44,CONSTANT change. Overworked employees. They push work/life balance but take personnel away and don't replace them. Someone has to do the work!,Great benefits and pay. Challenging work if you support the right Partners and Executive Directors.," Aug 23, 2018",4.0
45,Work life balance is a bit hard,Great opportunities to know more about various industries and good professional development," Aug 31, 2018",4.0
46,internal work can be too much to handle at times,"great team, versatile, a lot of opportunities"," Aug 30, 2018",4.0
47,"unrealistic expectations as far as how much work they give you, when it has to be completed, how many hours to budget","job security, some flexibility, a lot of vacation days"," Sep 14, 2018",3.0
48,I wish the salary was higher,Great atmosphere and great people," Aug 30, 2018",5.0
49,Some downsides are you are a bit silo’d in the work that you can do.,The best part about EY is the culture of the company and the people I work with.," Aug 30, 2018",4.0
50,Lack of mentorship and pay,Lots of opportunities in the firm for client serving individuals," Sep 12, 2018",3.0
51,I can't find any at this time.,"Great company, wonderful team members. EY is very family oriented. They give additional days off."," Aug 29, 2018",5.0
52,Decrease in administrative support,Great people and a learning environment," Aug 29, 2018",4.0
53,Pay is not competitive for the location.,Company cares a lot about its people.," Aug 27, 2018",5.0
54,Not great company cultureBusy season -- very stressful,Good start to careerResume BuilderFast pacedLearn a lot in a small amount of time," Sep 11, 2018",3.0
55,Long Hours but very manageable,"Great Environment, flexible, great pay"," Aug 27, 2018",5.0
56,"Long hours, sometimes communication doesn't come through.",Flexibility and work-home balance. Great benefits.," Aug 20, 2018",5.0
57,Sometimes work life balance can take a toll.,Great benefits and fast working pace.," Aug 27, 2018",4.0
58,Long working hours-little work life balance; to be expected at any Big 4,"Good pay, solid benefits, coworkers are friendly, interesting work"," Aug 27, 2018",4.0
59,"too busy, not much work like balance",it was a great place to start the career," Sep 9, 2018",3.0
60,"Long hours, pay is competitive with other public accounting firms but is still less than it should be","Nice people, great learning resources and reputation"," Aug 25, 2018",5.0
61,"People are very passive-aggressive, too busy to really help you, patronizing","Small department, good benefits, occasional office events"," Sep 10, 2018",2.0
62,Work life balance is difficult to achieve so will really teach you discipline.,Good first job out of college. Teaches you a lot quickly and challenging environment helps you grow professionally and personally," Aug 25, 2018",4.0
63,"Depending on service line and time of busy season, may require to work long hours",Very good benefits for health insurance and dental coverage (if elected)," Aug 25, 2018",4.0
64,"Long hours, payoff of good pay not until partner",Good maternity leave benefits for men and women," Aug 25, 2018",4.0
65,Work life balance could be better,"Steep learning curve, good projects"," Sep 9, 2018",3.0
66,long hours that might include weekends,experience is the best thing at big 4," Aug 24, 2018",5.0
67,Finding engagements that align with your interests,"Great culture, great people, professional development, professional organizations, and great volunteer opportunities"," Aug 24, 2018",4.0
68,"Lots of extra hours, working on weekends during peak season","Great exposure, high learning curve"," Aug 24, 2018",4.0
69,"In high demand arenas (cybersecurity, digital, etc.) you will be staffed on engagements irrespective of knowledge and experience. Those with high utilization will be driven into the ground through consistent travel, and no breaks (100+% utilization) for three years. Work life balance is not prioritized by senior management.","Provided a wide range of opportunities. Some senior management cares, others see you as a number."," Sep 6, 2018",3.0
70,Too much work for employees,Good exposure to different clients," Sep 7, 2018",3.0
71,Two different offices so it's not easy to network with employees from higher positions .,"Great vacation time, ability to work from home, morale is pretty good among team members"," Aug 23, 2018",5.0
72,People are not always helpful. Everyone's got agenda. Mentorship is does not exist. It is always what have done for me lately.,Get to work and gain a lot of exposure in various industries and companies," Sep 7, 2018",2.0
73,Limited professional growth and work life balance can be tricky,Good culture in general and good pay," Aug 23, 2018",4.0
74,"Large Company, Average Salary, Hours",Opportunity within and outside the company," Aug 23, 2018",4.0
75,- Many projects are extremely boring- Significant amount of meaningless work- Having to get yourself onto a project every time you finish a project feels like re-applying to a job every 6-8 months- Heavily regulatory compliance skewed- Low skill work (I feel like all I have done since joining the firm is various forms of copy-pasting. I have yet to feel like I am doing something that someone without any degree would find even mildly challenging),"- Great work-life balance- Very clear promotional path- Great people, young employees with positive/friendly culture- Health benefits + decent salary"," Sep 6, 2018",3.0
76,Compensation within certain groups should be raised based on cost of living,Company is flexible once you join full time to let you move around with the relevant experience," Aug 21, 2018",5.0
77,"The big four has very long working hours, this could be noticed during the busy season. The pay is lesser than other companies in the industry for starters.",Flexible work hoursProfessional developmentVarious career opportunitiesWorking with big scale clients gives you an exposure that is unique to the big four," Aug 22, 2018",5.0
78,Can be demanding during peak season.No stock options.Up or out strategy for employees retention,FlexibilityWork experienceKnowledgeable supervisorProfesional opportunityGlobal web of offices offers international work experience around the globe.," Aug 21, 2018",4.0
79,Difficulty to move across practices and not heavy consulting.,Great place to work and learn with great people.," Aug 21, 2018",4.0
80,"Promotion and salary raise are not the same which used to be, culture is getting diluted due to a very aggressive vision and many people at the top, not very helpful.","It is a great company to work for, lots of focus on training and employee growth and development."," Aug 22, 2018",4.0
81,"Salaries are low considering the amount of hours worked, especially in the junior roles","Kind people, meritocratic culture, good job security"," Sep 5, 2018",3.0
82,No cons. I loved EY,I loved the staff and everything I've learned. Great experience.," Aug 20, 2018",5.0
83,There are honestly no cons of working here,This place was the best place I ever worked for," Aug 21, 2018",5.0
84,"PayPromotions level out at a certain point - top heavy right now, a lot of people stuck in the middle",PeopleBroad experienceGreat leaders at the very top," Aug 20, 2018",4.0
85,- Long hours and a lot of travel-,- Dynamic work environment- Flexible roles- Great culture," Aug 21, 2018",4.0
86,Still get long hours often. Everything is tried and true management consulting no matter what the firm says,"Strong development programs, smart staff"," Sep 3, 2018",3.0
87,The company is very diverse but not necessarily in Tampa,"Great people, benefits and has a pension plan"," Aug 19, 2018",5.0
88,sometimes you can get stuck on long projects,"Good culture, everyone is eager to share information"," Aug 19, 2018",4.0
89,*Salary*Monetary compensation when the client is far from the EY Building depends of the Manager.,*Great non salary benefits*Work from Home*Always learning*Flexibility," Aug 20, 2018",4.0
90,N work life balance when on chargeable client engagements,Great in terms of flexibility," Aug 20, 2018",4.0
91,"-> Requires a degree of self-motivation, easy to take a back seat due to organizational structure","-> Great team environment-> When working in a client facing role, great opportunity to learn about business structure/models, markets, industries etc."," Aug 17, 2018",5.0
92,"Normal cons associated with public accounting, including busy season hours and the attitude that client needs come before employees. Also, high performers tend to be awarded with way more work and only slightly more pay, at least in the first couple of years.","Good experiences doing a variety of different projects, including compliance and provisions."," Aug 18, 2018",4.0
93,Hours can be long at times,"Good money, great people to work with"," Aug 16, 2018",5.0
94,undervalued and appreciated for hours/time compared to other times making same salary,"Great people and environment to be around, perks, flexibility"," Aug 16, 2018",4.0
95,"Long hours, potentially long commute. Tough if you have kids...",Job experience and learning curve is unparalleled to industry work. What you learn in 2 years at EY will take 5+ years in the industry. Work is challenging yet rewarding.," Aug 15, 2018",5.0
96,Requires lot of traveling and relocation,Hard work is always recognized and appreciated. Great benefits.," Aug 15, 2018",4.0
97,Salaries may be at below market rate,Great environment and nice place to work," Aug 15, 2018",5.0
98,"if stuck on project, hard to get out","great culture, lots of opportunity"," Aug 14, 2018",4.0
99,"travel, office politics, increasing expectations to perform, poor leadership, performance review process","pay, people, career development track, vacation time (if you can use it)"," Aug 15, 2018",4.0
